Province,Date,Item,Count
内蒙古自治区,2020-03-29,confirmed,95
内蒙古自治区,2020-03-28,confirmed,94
内蒙古自治区,2020-03-27,confirmed,92
内蒙古自治区,2020-03-26,confirmed,89
内蒙古自治区,2020-03-25,confirmed,77
内蒙古自治区,2020-03-19,confirmed,75
内蒙古自治区,2020-03-16,confirmed,75
内蒙古自治区,2020-03-11,confirmed,75
内蒙古自治区,2020-03-08,confirmed,75
内蒙古自治区,2020-03-07,confirmed,75
内蒙古自治区,2020-03-06,confirmed,75
内蒙古自治区,2020-03-05,confirmed,75
内蒙古自治区,2020-03-04,confirmed,75
内蒙古自治区,2020-03-03,confirmed,75
内蒙古自治区,2020-03-02,confirmed,75
内蒙古自治区,2020-03-01,confirmed,75
内蒙古自治区,2020-02-29,confirmed,75
内蒙古自治区,2020-02-28,confirmed,75
内蒙古自治区,2020-02-27,confirmed,75
内蒙古自治区,2020-02-26,confirmed,75
内蒙古自治区,2020-02-24,confirmed,75
内蒙古自治区,2020-02-23,confirmed,75
内蒙古自治区,2020-02-22,confirmed,75
内蒙古自治区,2020-02-21,confirmed,75
内蒙古自治区,2020-02-20,confirmed,75
内蒙古自治区,2020-02-19,confirmed,74
内蒙古自治区,2020-02-18,confirmed,73
内蒙古自治区,2020-02-17,confirmed,72
内蒙古自治区,2020-02-16,confirmed,70
内蒙古自治区,2020-02-15,confirmed,68
内蒙古自治区,2020-02-14,confirmed,65
内蒙古自治区,2020-02-13,confirmed,60
内蒙古自治区,2020-02-12,confirmed,60
内蒙古自治区,2020-02-10,confirmed,58
内蒙古自治区,2020-02-09,confirmed,54
内蒙古自治区,2020-02-08,confirmed,52
内蒙古自治区,2020-02-07,confirmed,46
内蒙古自治区,2020-02-06,confirmed,46
内蒙古自治区,2020-02-05,confirmed,35
内蒙古自治区,2020-02-04,confirmed,35
内蒙古自治区,2020-02-03,confirmed,34
内蒙古自治区,2020-02-02,confirmed,23
内蒙古自治区,2020-02-01,confirmed,23
内蒙古自治区,2020-01-31,confirmed,19
内蒙古自治区,2020-01-30,confirmed,18
内蒙古自治区,2020-01-29,confirmed,16
内蒙古自治区,2020-01-28,confirmed,13
内蒙古自治区,2020-01-27,confirmed,11
内蒙古自治区,2020-01-26,confirmed,7
内蒙古自治区,2020-01-25,confirmed,2
内蒙古自治区,2020-01-24,confirmed,0
内蒙古自治区,2020-01-23,confirmed,0
台湾,2020-05-25,confirmed,441
台湾,2020-05-24,confirmed,441
台湾,2020-05-23,confirmed,441
台湾,2020-05-22,confirmed,441
台湾,2020-05-19,confirmed,440
台湾,2020-05-18,confirmed,440
台湾,2020-05-17,confirmed,440
台湾,2020-05-15,confirmed,440
台湾,2020-05-14,confirmed,440
台湾,2020-05-13,confirmed,440
台湾,2020-05-12,confirmed,440
台湾,2020-05-11,confirmed,440
台湾,2020-05-10,confirmed,440
台湾,2020-05-09,confirmed,440
台湾,2020-05-08,confirmed,440
台湾,2020-05-07,confirmed,440
台湾,2020-05-06,confirmed,439
台湾,2020-05-04,confirmed,436
台湾,2020-05-03,confirmed,432
台湾,2020-05-02,confirmed,432
台湾,2020-05-01,confirmed,429
台湾,2020-04-30,confirmed,429
台湾,2020-04-29,confirmed,429
